AccidentSeverity,Country,LightCondition,WeatherCondition,AccidentMonth,AccidentDay,Accidents
Serious,England,Daylight,Unknown,August,Friday,5
Serious,England,Daylight,Unknown,July,Friday,4
Serious,England,Daylight,Unknown,June,Friday,4
Serious,England,Daylight,Unknown,May,Friday,4
Serious,England,Daylight,Unknown,April,Friday,3
Serious,England,Daylight,Unknown,January,Friday,2
Serious,England,Daylight,Unknown,August,Thursday,4
Serious,England,Daylight,Unknown,September,Thursday,4
Serious,England,Daylight,Unknown,May,Thursday,7
Serious,England,Daylight,Unknown,April,Thursday,1
Serious,England,Daylight,Unknown,March,Thursday,3
Serious,England,Daylight,Unknown,January,Thursday,1
Fatal,England,Daylight,Unknown,April,Thursday,1
Serious,England,Daylight,Unknown,August,Wednesday,3
Serious,England,Daylight,Unknown,June,Wednesday,3
Serious,England,Daylight,Unknown,April,Wednesday,2
Serious,England,Daylight,Unknown,March,Wednesday,4
Serious,England,Daylight,Unknown,January,Wednesday,2
Fatal,England,Daylight,Unknown,August,Wednesday,1
Serious,England,Daylight,Unknown,June,Tuesday,5
Serious,England,Daylight,Unknown,May,Tuesday,4
Serious,England,Daylight,Unknown,February,Tuesday,3
Serious,England,Darkness - lights lit,Unknown,May,Tuesday,2
Serious,England,Darkness - lights lit,Unknown,March,Tuesday,2
Serious,England,Daylight,Unknown,May,Monday,2
Serious,England,Daylight,Unknown,April,Monday,3
Serious,England,Daylight,Unknown,March,Monday,5
Serious,England,Daylight,Unknown,February,Monday,3
Serious,England,Darkness - lights lit,Unknown,September,Monday,1
Serious,England,Darkness - lights lit,Unknown,March,Monday,1
Serious,England,Daylight,Unknown,March,Sunday,2
Serious,England,Daylight,Unknown,January,Sunday,3
Fatal,England,Daylight,Unknown,July,Sunday,1
Serious,England,Darkness - lights lit,Unknown,May,Sunday,2
Serious,England,Darkness - lights lit,Unknown,February,Sunday,2
Serious,England,Daylight,Fine no high winds,August,Friday,195
Serious,England,Daylight,Fine no high winds,July,Friday,282
Serious,England,Daylight,Fine no high winds,June,Friday,259
Serious,England,Daylight,Fine no high winds,May,Friday,198
Serious,England,Daylight,Fine no high winds,April,Friday,215
Serious,England,Daylight,Fine no high winds,March,Friday,144
Serious,England,Daylight,Fine no high winds,February,Friday,108
Serious,England,Daylight,Fine no high winds,January,Friday,111
Fatal,Scotland,Daylight,Fine no high winds,September,Friday,2
Fatal,Scotland,Daylight,Fine no high winds,August,Friday,4
Fatal,Scotland,Daylight,Fine no high winds,June,Friday,1
Fatal,Scotland,Daylight,Fine no high winds,April,Friday,3
Fatal,Scotland,Daylight,Fine no high winds,February,Friday,1
Fatal,England,Daylight,Fine no high winds,September,Friday,6
Fatal,England,Daylight,Fine no high winds,June,Friday,16
Fatal,England,Daylight,Fine no high winds,November,Friday,10
Fatal,England,Daylight,Fine no high winds,December,Friday,10
Fatal,England,Daylight,Fine no high winds,July,Friday,13
Fatal,England,Daylight,Fine no high winds,April,Friday,13
Fatal,England,Daylight,Fine no high winds,March,Friday,7
Fatal,England,Daylight,Fine no high winds,January,Friday,6
Fatal,England,Daylight,Fine no high winds,October,Friday,7
Fatal,England,Daylight,Fine no high winds,May,Friday,9
Fatal,England,Daylight,Fine no high winds,August,Friday,10
Fatal,England,Daylight,Fine no high winds,February,Friday,3
Serious,England,Darkness - lights lit,Fine no high winds,September,Friday,44
Serious,England,Darkness - lights lit,Fine no high winds,August,Friday,29
Serious,England,Darkness - lights lit,Fine no high winds,July,Friday,28
Serious,England,Darkness - lights lit,Fine no high winds,June,Friday,31
Serious,England,Darkness - lights lit,Fine no high winds,March,Friday,46
Serious,England,Darkness - lights lit,Fine no high winds,May,Friday,28
Serious,England,Darkness - lights lit,Fine no high winds,April,Friday,37
Serious,England,Daylight,Fine no high winds,September,Thursday,180
Serious,England,Daylight,Fine no high winds,August,Thursday,203
Serious,England,Daylight,Fine no high winds,June,Thursday,251
Serious,England,Daylight,Fine no high winds,July,Thursday,215
Serious,England,Daylight,Fine no high winds,May,Thursday,208
Serious,England,Daylight,Fine no high winds,April,Thursday,184
Serious,England,Daylight,Fine no high winds,March,Thursday,204
Serious,England,Daylight,Fine no high winds,February,Thursday,114
Serious,England,Daylight,Fine no high winds,January,Thursday,110
Fatal,Scotland,Daylight,Fine no high winds,October,Thursday,2
Fatal,Scotland,Daylight,Fine no high winds,September,Thursday,1
Fatal,Scotland,Daylight,Fine no high winds,August,Thursday,2
Fatal,Scotland,Daylight,Fine no high winds,July,Thursday,1
Fatal,Scotland,Daylight,Fine no high winds,June,Thursday,2
Fatal,Scotland,Daylight,Fine no high winds,May,Thursday,1
Fatal,Scotland,Daylight,Fine no high winds,March,Thursday,1
Fatal,England,Daylight,Fine no high winds,August,Thursday,9
Fatal,England,Daylight,Fine no high winds,January,Thursday,6
Fatal,England,Daylight,Fine no high winds,September,Thursday,10
Fatal,England,Daylight,Fine no high winds,November,Thursday,4
Fatal,England,Daylight,Fine no high winds,October,Thursday,8
Fatal,England,Daylight,Fine no high winds,May,Thursday,9
Fatal,England,Daylight,Fine no high winds,February,Thursday,3
Fatal,England,Daylight,Fine no high winds,December,Thursday,6
Fatal,England,Daylight,Fine no high winds,July,Thursday,7
Fatal,England,Daylight,Fine no high winds,June,Thursday,12
Fatal,England,Daylight,Fine no high winds,April,Thursday,5
Fatal,England,Daylight,Fine no high winds,March,Thursday,8
Serious,England,Darkness - lights lit,Fine no high winds,September,Thursday,48
Serious,England,Darkness - lights lit,Fine no high winds,July,Thursday,18
Serious,England,Darkness - lights lit,Fine no high winds,August,Thursday,27
Serious,England,Darkness - lights lit,Fine no high winds,May,Thursday,25
Serious,England,Darkness - lights lit,Fine no high winds,June,Thursday,9
Serious,England,Darkness - lights lit,Fine no high winds,April,Thursday,30
Serious,England,Darkness - lights lit,Fine no high winds,March,Thursday,49
Fatal,England,Unknown,Fine no high winds,December,Wednesday,1
Serious,England,Daylight,Fine no high winds,September,Wednesday,176
Serious,England,Daylight,Fine no high winds,August,Wednesday,225
Serious,England,Daylight,Fine no high winds,May,Wednesday,159
Serious,England,Daylight,Fine no high winds,July,Wednesday,193
Serious,England,Daylight,Fine no high winds,June,Wednesday,255
Serious,England,Daylight,Fine no high winds,April,Wednesday,149
Serious,England,Daylight,Fine no high winds,March,Wednesday,148
Serious,England,Daylight,Fine no high winds,February,Wednesday,99
Serious,England,Daylight,Fine no high winds,January,Wednesday,118
Fatal,Scotland,Daylight,Fine no high winds,October,Wednesday,1
Fatal,Scotland,Daylight,Fine no high winds,September,Wednesday,1
Fatal,Scotland,Daylight,Fine no high winds,August,Wednesday,4
Fatal,Scotland,Daylight,Fine no high winds,July,Wednesday,2
Fatal,Scotland,Daylight,Fine no high winds,June,Wednesday,1
Fatal,Scotland,Daylight,Fine no high winds,April,Wednesday,1
Fatal,Scotland,Daylight,Fine no high winds,March,Wednesday,1
Fatal,England,Daylight,Fine no high winds,July,Wednesday,7
Fatal,England,Daylight,Fine no high winds,March,Wednesday,6
Fatal,England,Daylight,Fine no high winds,June,Wednesday,17
Fatal,England,Daylight,Fine no high winds,November,Wednesday,3
Fatal,England,Daylight,Fine no high winds,October,Wednesday,4
Fatal,England,Daylight,Fine no high winds,September,Wednesday,7
Fatal,England,Daylight,Fine no high winds,August,Wednesday,10
Fatal,England,Daylight,Fine no high winds,May,Wednesday,6
Fatal,England,Daylight,Fine no high winds,February,Wednesday,5
Fatal,England,Daylight,Fine no high winds,January,Wednesday,8
Fatal,England,Daylight,Fine no high winds,December,Wednesday,2
Fatal,England,Daylight,Fine no high winds,April,Wednesday,3
Serious,England,Darkness - lights lit,Fine no high winds,September,Wednesday,26
Serious,England,Darkness - lights lit,Fine no high winds,August,Wednesday,28
Serious,England,Darkness - lights lit,Fine no high winds,July,Wednesday,28
Serious,England,Darkness - lights lit,Fine no high winds,June,Wednesday,22
Serious,England,Darkness - lights lit,Fine no high winds,May,Wednesday,16
Serious,England,Darkness - lights lit,Fine no high winds,March,Wednesday,30
Serious,England,Darkness - lights lit,Fine no high winds,February,Wednesday,43
Serious,England,Daylight,Fine no high winds,September,Tuesday,144
Serious,England,Daylight,Fine no high winds,August,Tuesday,209
Serious,England,Daylight,Fine no high winds,July,Tuesday,193
Serious,England,Daylight,Fine no high winds,June,Tuesday,217
Serious,England,Daylight,Fine no high winds,May,Tuesday,220
Serious,England,Daylight,Fine no high winds,April,Tuesday,157
Serious,England,Daylight,Fine no high winds,March,Tuesday,181
Serious,England,Daylight,Fine no high winds,January,Tuesday,81
Serious,England,Daylight,Fine no high winds,February,Tuesday,90
Fatal,Scotland,Daylight,Fine no high winds,November,Tuesday,2
Fatal,Scotland,Daylight,Fine no high winds,August,Tuesday,3
Fatal,Scotland,Daylight,Fine no high winds,July,Tuesday,3
Fatal,Scotland,Daylight,Fine no high winds,June,Tuesday,3
Fatal,Scotland,Daylight,Fine no high winds,April,Tuesday,2
Fatal,Scotland,Daylight,Fine no high winds,February,Tuesday,1
Fatal,England,Daylight,Fine no high winds,July,Tuesday,11
Fatal,England,Daylight,Fine no high winds,August,Tuesday,14
Fatal,England,Daylight,Fine no high winds,May,Tuesday,8
Fatal,England,Daylight,Fine no high winds,November,Tuesday,5
Fatal,England,Daylight,Fine no high winds,October,Tuesday,10
Fatal,England,Daylight,Fine no high winds,April,Tuesday,4
Fatal,England,Daylight,Fine no high winds,February,Tuesday,3
Fatal,England,Daylight,Fine no high winds,September,Tuesday,7
Fatal,England,Daylight,Fine no high winds,June,Tuesday,9
Fatal,England,Daylight,Fine no high winds,March,Tuesday,9
Fatal,England,Daylight,Fine no high winds,January,Tuesday,4
Fatal,England,Daylight,Fine no high winds,December,Tuesday,8
Serious,England,Darkness - lights lit,Fine no high winds,September,Tuesday,21
Serious,England,Darkness - lights lit,Fine no high winds,August,Tuesday,29
Serious,England,Darkness - lights lit,Fine no high winds,July,Tuesday,17
Serious,England,Darkness - lights lit,Fine no high winds,June,Tuesday,7
Serious,England,Darkness - lights lit,Fine no high winds,May,Tuesday,16
Serious,England,Darkness - lights lit,Fine no high winds,April,Tuesday,18
Serious,England,Darkness - lights lit,Fine no high winds,March,Tuesday,37
Serious,England,Daylight,Fine no high winds,September,Monday,133
Serious,England,Daylight,Fine no high winds,August,Monday,185
Serious,England,Daylight,Fine no high winds,July,Monday,191
Serious,England,Daylight,Fine no high winds,June,Monday,188
Serious,England,Daylight,Fine no high winds,February,Monday,76
Serious,England,Daylight,Fine no high winds,May,Monday,194
Serious,England,Daylight,Fine no high winds,April,Monday,141
Serious,England,Daylight,Fine no high winds,March,Monday,144
Serious,England,Daylight,Fine no high winds,January,Monday,138
Fatal,Scotland,Daylight,Fine no high winds,September,Monday,2
Fatal,Scotland,Daylight,Fine no high winds,July,Monday,2
Fatal,Scotland,Daylight,Fine no high winds,June,Monday,3
Fatal,Scotland,Daylight,Fine no high winds,February,Monday,1
Fatal,Scotland,Daylight,Fine no high winds,January,Monday,1
Fatal,England,Daylight,Fine no high winds,January,Monday,9
Fatal,England,Daylight,Fine no high winds,March,Monday,15
Fatal,England,Daylight,Fine no high winds,August,Monday,8
Fatal,England,Daylight,Fine no high winds,May,Monday,12
Fatal,England,Daylight,Fine no high winds,April,Monday,10
Fatal,England,Daylight,Fine no high winds,November,Monday,5
Fatal,England,Daylight,Fine no high winds,July,Monday,10
Fatal,England,Daylight,Fine no high winds,October,Monday,10
Fatal,England,Daylight,Fine no high winds,February,Monday,4
Fatal,England,Daylight,Fine no high winds,September,Monday,3
Fatal,England,Daylight,Fine no high winds,June,Monday,7
Fatal,England,Daylight,Fine no high winds,December,Monday,1
Serious,England,Darkness - lights lit,Fine no high winds,September,Monday,22
Serious,England,Darkness - lights lit,Fine no high winds,August,Monday,43
Serious,England,Darkness - lights lit,Fine no high winds,July,Monday,22
Serious,England,Darkness - lights lit,Fine no high winds,April,Monday,17
Serious,England,Darkness - lights lit,Fine no high winds,June,Monday,13
Serious,England,Darkness - lights lit,Fine no high winds,May,Monday,20
Serious,England,Darkness - lights lit,Fine no high winds,March,Monday,25
Serious,England,Daylight,Fine no high winds,September,Sunday,159
Serious,England,Daylight,Fine no high winds,August,Sunday,164
Serious,England,Daylight,Fine no high winds,July,Sunday,228
Serious,England,Daylight,Fine no high winds,June,Sunday,147
Serious,England,Daylight,Fine no high winds,May,Sunday,169
Serious,England,Daylight,Fine no high winds,April,Sunday,141
Serious,England,Daylight,Fine no high winds,March,Sunday,130
Serious,England,Daylight,Fine no high winds,February,Sunday,49
Serious,England,Daylight,Fine no high winds,January,Sunday,88
Fatal,Scotland,Daylight,Fine no high winds,November,Sunday,1
Fatal,Scotland,Daylight,Fine no high winds,July,Sunday,1
Fatal,Scotland,Daylight,Fine no high winds,June,Sunday,1
Fatal,Scotland,Daylight,Fine no high winds,May,Sunday,1
Fatal,Scotland,Daylight,Fine no high winds,April,Sunday,1
Fatal,England,Daylight,Fine no high winds,September,Sunday,15
Fatal,England,Daylight,Fine no high winds,July,Sunday,25
Fatal,England,Daylight,Fine no high winds,June,Sunday,11
Fatal,England,Daylight,Fine no high winds,March,Sunday,11
Fatal,England,Daylight,Fine no high winds,November,Sunday,6
Fatal,England,Daylight,Fine no high winds,August,Sunday,13
Fatal,England,Daylight,Fine no high winds,April,Sunday,10
Fatal,England,Daylight,Fine no high winds,October,Sunday,2
Fatal,England,Daylight,Fine no high winds,February,Sunday,3
Fatal,England,Daylight,Fine no high winds,January,Sunday,11
Fatal,England,Daylight,Fine no high winds,May,Sunday,8
Fatal,England,Daylight,Fine no high winds,December,Sunday,1
Serious,England,Darkness - lights lit,Fine no high winds,September,Sunday,45
Serious,England,Darkness - lights lit,Fine no high winds,August,Sunday,40
Serious,England,Darkness - lights lit,Fine no high winds,June,Sunday,34
Serious,England,Darkness - lights lit,Fine no high winds,July,Sunday,47
Serious,England,Darkness - lights lit,Fine no high winds,May,Sunday,38
Serious,England,Darkness - lights lit,Fine no high winds,April,Sunday,36
Serious,England,Darkness - lights lit,Fine no high winds,March,Sunday,51
Serious,England,Daylight,Raining no high winds,April,Friday,5
Serious,England,Daylight,Raining no high winds,March,Friday,24
Serious,England,Daylight,Raining no high winds,February,Friday,12
Fatal,Scotland,Daylight,Raining no high winds,January,Friday,1
Fatal,England,Daylight,Raining no high winds,January,Friday,3
Fatal,England,Daylight,Raining no high winds,September,Friday,1
Fatal,England,Daylight,Raining no high winds,April,Friday,1
Fatal,England,Daylight,Raining no high winds,December,Friday,2
Fatal,England,Daylight,Raining no high winds,February,Friday,1
Serious,England,Darkness - lights lit,Raining no high winds,September,Friday,15
Serious,England,Darkness - lights lit,Raining no high winds,June,Friday,3
Serious,England,Darkness - lights lit,Raining no high winds,March,Friday,17
Serious,England,Daylight,Raining no high winds,September,Thursday,20
Serious,England,Daylight,Raining no high winds,August,Thursday,11
Serious,England,Daylight,Raining no high winds,July,Thursday,4
Serious,England,Daylight,Raining no high winds,June,Thursday,14
Serious,England,Daylight,Raining no high winds,May,Thursday,7
Serious,England,Daylight,Raining no high winds,February,Thursday,14
Fatal,Scotland,Daylight,Raining no high winds,August,Thursday,1
Fatal,Scotland,Daylight,Raining no high winds,May,Thursday,1
Fatal,England,Daylight,Raining no high winds,October,Thursday,1
Fatal,England,Daylight,Raining no high winds,August,Thursday,2
Fatal,England,Daylight,Raining no high winds,November,Thursday,3
Serious,England,Darkness - lights lit,Raining no high winds,September,Thursday,9
Serious,England,Darkness - lights lit,Raining no high winds,July,Thursday,1
Serious,England,Daylight,Raining no high winds,September,Wednesday,6
Serious,England,Daylight,Raining no high winds,August,Wednesday,13
Serious,England,Daylight,Raining no high winds,June,Wednesday,9
Serious,England,Daylight,Raining no high winds,May,Wednesday,26
Serious,England,Daylight,Raining no high winds,April,Wednesday,12
Serious,England,Daylight,Raining no high winds,March,Wednesday,37
Serious,England,Daylight,Raining no high winds,February,Wednesday,5
Serious,England,Daylight,Raining no high winds,January,Wednesday,6
Fatal,Scotland,Daylight,Raining no high winds,December,Wednesday,1
Fatal,England,Daylight,Raining no high winds,May,Wednesday,2
Fatal,England,Daylight,Raining no high winds,August,Wednesday,1
Fatal,England,Daylight,Raining no high winds,March,Wednesday,4
Fatal,England,Daylight,Raining no high winds,November,Wednesday,1
Fatal,England,Daylight,Raining no high winds,June,Wednesday,1
Serious,England,Darkness - lights lit,Raining no high winds,June,Wednesday,2
Serious,England,Darkness - lights lit,Raining no high winds,May,Wednesday,5
Serious,England,Darkness - lights lit,Raining no high winds,April,Wednesday,3
Serious,England,Darkness - lights lit,Raining no high winds,March,Wednesday,18
Serious,England,Daylight,Raining no high winds,September,Tuesday,22
Serious,England,Daylight,Raining no high winds,August,Tuesday,11
Serious,England,Daylight,Raining no high winds,May,Tuesday,22
Serious,England,Daylight,Raining no high winds,March,Tuesday,6
Serious,England,Daylight,Raining no high winds,February,Tuesday,11
Serious,England,Daylight,Raining no high winds,January,Tuesday,6
Fatal,England,Daylight,Raining no high winds,May,Tuesday,1
Fatal,England,Daylight,Raining no high winds,September,Tuesday,1
Fatal,England,Daylight,Raining no high winds,November,Tuesday,2
Fatal,England,Daylight,Raining no high winds,December,Tuesday,1
Fatal,England,Daylight,Raining no high winds,February,Tuesday,1
Serious,England,Darkness - lights lit,Raining no high winds,September,Tuesday,6
Serious,England,Darkness - lights lit,Raining no high winds,May,Tuesday,2
Serious,England,Darkness - lights lit,Raining no high winds,March,Tuesday,10
Serious,England,Daylight,Raining no high winds,June,Monday,5
Serious,England,Daylight,Raining no high winds,May,Monday,31
Serious,England,Daylight,Raining no high winds,April,Monday,9
Serious,England,Daylight,Raining no high winds,March,Monday,4
Serious,England,Daylight,Raining no high winds,February,Monday,16
Fatal,Scotland,Daylight,Raining no high winds,May,Monday,1
Fatal,Scotland,Daylight,Raining no high winds,January,Monday,1
Fatal,England,Daylight,Raining no high winds,October,Monday,1
Fatal,England,Daylight,Raining no high winds,September,Monday,1
Fatal,England,Daylight,Raining no high winds,December,Monday,1
Fatal,England,Daylight,Raining no high winds,June,Monday,1
Fatal,England,Daylight,Raining no high winds,November,Monday,1
Fatal,England,Daylight,Raining no high winds,August,Monday,1
Serious,England,Darkness - lights lit,Raining no high winds,August,Monday,2
Serious,England,Darkness - lights lit,Raining no high winds,June,Monday,1
Serious,England,Darkness - lights lit,Raining no high winds,May,Monday,6
Serious,England,Darkness - lights lit,Raining no high winds,April,Monday,3
Serious,England,Darkness - lights lit,Raining no high winds,February,Monday,22
Serious,England,Daylight,Raining no high winds,September,Sunday,7
Serious,England,Daylight,Raining no high winds,June,Sunday,22
Serious,England,Daylight,Raining no high winds,May,Sunday,17
Serious,England,Daylight,Raining no high winds,February,Sunday,20
Fatal,Scotland,Daylight,Raining no high winds,September,Sunday,1
Fatal,England,Daylight,Raining no high winds,October,Sunday,2
Fatal,England,Daylight,Raining no high winds,February,Sunday,2
Fatal,England,Daylight,Raining no high winds,July,Sunday,1
Serious,England,Darkness - lights lit,Raining no high winds,June,Sunday,2
Serious,England,Darkness - lights lit,Raining no high winds,April,Sunday,2
Fatal,Scotland,Daylight,Snowing no high winds,February,Sunday,1
Serious,England,Daylight,Fine + high winds,August,Friday,1
Serious,England,Daylight,Fine + high winds,February,Friday,13
Fatal,Scotland,Daylight,Fine + high winds,November,Friday,1
Fatal,England,Daylight,Fine + high winds,February,Friday,4
Fatal,England,Daylight,Fine + high winds,November,Friday,2
Serious,England,Darkness - lights lit,Fine + high winds,April,Friday,1
Serious,England,Daylight,Fine + high winds,April,Thursday,6
Fatal,Scotland,Daylight,Fine + high winds,February,Thursday,1
Fatal,England,Daylight,Fine + high winds,April,Thursday,1
Fatal,England,Daylight,Fine + high winds,February,Thursday,1
Fatal,England,Daylight,Fine + high winds,April,Wednesday,1
Fatal,England,Daylight,Fine + high winds,February,Wednesday,3
Fatal,Scotland,Daylight,Fine + high winds,June,Tuesday,1
Serious,England,Daylight,Fine + high winds,March,Monday,2
Serious,England,Daylight,Fine + high winds,February,Monday,10
Serious,England,Daylight,Fine + high winds,January,Monday,4
Serious,England,Daylight,Fine + high winds,February,Sunday,8
Fatal,England,Daylight,Fine + high winds,February,Sunday,1
Serious,England,Daylight,Raining + high winds,February,Thursday,6
Fatal,England,Daylight,Raining + high winds,October,Wednesday,1
Fatal,England,Daylight,Raining + high winds,April,Monday,1
Fatal,England,Daylight,Raining + high winds,February,Sunday,1
Serious,England,Daylight,Fog or mist,January,Tuesday,3
Fatal,England,Daylight,Fog or mist,January,Tuesday,1
Serious,England,Daylight,Other,July,Friday,5
Serious,England,Daylight,Other,May,Friday,7
Serious,England,Daylight,Other,April,Friday,6
Serious,England,Daylight,Other,March,Friday,2
Fatal,England,Daylight,Other,January,Friday,1
Fatal,England,Daylight,Other,October,Friday,1
Fatal,England,Daylight,Other,December,Friday,2
Serious,England,Darkness - lights lit,Other,June,Friday,1
Serious,England,Darkness - lights lit,Other,May,Friday,1
Serious,England,Darkness - lights lit,Other,April,Friday,4
Serious,England,Darkness - lights lit,Other,March,Friday,1
Serious,England,Daylight,Other,August,Thursday,4
Serious,England,Daylight,Other,July,Thursday,2
Serious,England,Daylight,Other,June,Thursday,2
Serious,England,Daylight,Other,May,Thursday,1
Serious,England,Daylight,Other,March,Thursday,8
Serious,England,Daylight,Other,April,Thursday,3
Serious,England,Daylight,Other,February,Thursday,4
Serious,England,Daylight,Other,January,Thursday,6
Fatal,England,Daylight,Other,October,Thursday,1
Serious,England,Daylight,Other,August,Wednesday,2
Serious,England,Daylight,Other,July,Wednesday,3
Serious,England,Daylight,Other,June,Wednesday,5
Serious,England,Daylight,Other,May,Wednesday,5
Serious,England,Daylight,Other,March,Wednesday,6
Serious,England,Daylight,Other,February,Wednesday,2
Serious,England,Daylight,Other,January,Wednesday,6
Serious,England,Darkness - lights lit,Other,August,Wednesday,2
Serious,England,Darkness - lights lit,Other,May,Wednesday,2
Serious,England,Darkness - lights lit,Other,March,Wednesday,3
Serious,England,Daylight,Other,September,Tuesday,5
Serious,England,Daylight,Other,July,Tuesday,2
Serious,England,Daylight,Other,May,Tuesday,2
Serious,England,Daylight,Other,April,Tuesday,3
Serious,England,Daylight,Other,March,Tuesday,3
Serious,England,Daylight,Other,February,Tuesday,6
Serious,England,Daylight,Other,January,Tuesday,6
Fatal,England,Daylight,Other,December,Tuesday,1
Serious,England,Darkness - lights lit,Other,March,Tuesday,1
Serious,England,Daylight,Other,July,Monday,4
Serious,England,Daylight,Other,June,Monday,6
Serious,England,Daylight,Other,May,Monday,4
Serious,England,Daylight,Other,March,Monday,1
Fatal,England,Daylight,Other,March,Monday,1
Serious,England,Darkness - lights lit,Other,August,Monday,3
Serious,England,Daylight,Other,September,Sunday,6
Serious,England,Daylight,Other,July,Sunday,5
Serious,England,Daylight,Other,August,Sunday,3
Serious,England,Daylight,Other,May,Sunday,3
Serious,England,Daylight,Other,March,Sunday,4
Slight,England,Daylight,Raining + high winds,February,Saturday,19
Slight,England,Daylight,Raining + high winds,January,Saturday,3
Slight,England,Daylight,Raining + high winds,November,Saturday,2
Slight,England,Daylight,Raining + high winds,June,Saturday,1
Slight,England,Daylight,Raining + high winds,March,Saturday,1
Slight,Scotland,Daylight,Raining + high winds,February,Saturday,1
Slight,Scotland,Daylight,Raining + high winds,January,Saturday,1
Slight,Scotland,Daylight,Raining + high winds,October,Saturday,1
Slight,England,Darkness - lighting unknown,Raining + high winds,January,Saturday,1
Slight,England,Daylight,Raining + high winds,October,Saturday,1
Serious,Scotland,Daylight,Raining + high winds,October,Saturday,1
Serious,Scotland,Daylight,Raining + high winds,September,Saturday,1
Serious,England,Daylight,Raining + high winds,December,Saturday,2
Slight,England,Daylight,Raining + high winds,December,Saturday,1
Slight,England,Darkness - lights lit,Raining + high winds,October,Saturday,3
Slight,England,Darkness - lights lit,Raining + high winds,February,Saturday,17
Slight,England,Darkness - lights lit,Raining + high winds,November,Saturday,4
Slight,England,Darkness - lights lit,Raining + high winds,May,Saturday,1
Slight,England,Darkness - lights lit,Raining + high winds,January,Saturday,2
Slight,England,Darkness - no lighting,Raining + high winds,November,Saturday,2
Slight,England,Darkness - no lighting,Raining + high winds,October,Saturday,2
Slight,England,Darkness - no lighting,Raining + high winds,February,Saturday,4
Serious,Scotland,Darkness - no lighting,Raining + high winds,February,Saturday,1
Serious,England,Darkness - no lighting,Raining + high winds,November,Saturday,1
Serious,England,Darkness - no lighting,Raining + high winds,February,Saturday,1
Slight,Scotland,Darkness - no lighting,Raining + high winds,February,Saturday,1
Slight,England,Darkness - no lighting,Raining + high winds,December,Saturday,2
Slight,England,Darkness - no lighting,Raining + high winds,March,Saturday,2
Slight,England,Darkness - lights unlit,Raining + high winds,February,Saturday,2
Serious,England,Daylight,Raining + high winds,February,Saturday,4
Serious,England,Daylight,Raining + high winds,November,Saturday,1
Serious,England,Daylight,Raining + high winds,January,Saturday,1
Fatal,England,Darkness - lights lit,Raining + high winds,November,Saturday,1
Serious,Scotland,Darkness - lights lit,Raining + high winds,February,Saturday,2
Serious,England,Darkness - lights lit,Raining + high winds,December,Saturday,2
Serious,England,Darkness - lights lit,Raining + high winds,November,Saturday,1
Serious,England,Darkness - lights lit,Raining + high winds,February,Saturday,4
Serious,England,Darkness - lights lit,Raining + high winds,October,Saturday,1
Serious,Scotland,Darkness - lights lit,Raining + high winds,December,Saturday,1
Slight,England,Darkness - lights lit,Raining + high winds,December,Saturday,2
Slight,England,Daylight,Raining + high winds,November,Tuesday,21
Slight,England,Daylight,Raining + high winds,October,Tuesday,1
Slight,England,Daylight,Raining + high winds,March,Tuesday,3
Slight,England,Daylight,Raining + high winds,April,Tuesday,1
Slight,Scotland,Daylight,Raining + high winds,October,Tuesday,1
Slight,England,Darkness - lighting unknown,Raining + high winds,November,Tuesday,1
Slight,England,Darkness - lighting unknown,Raining + high winds,February,Tuesday,1
Slight,England,Daylight,Raining + high winds,February,Tuesday,8
Slight,England,Daylight,Raining + high winds,September,Tuesday,1
Slight,England,Darkness - no lighting,Raining + high winds,August,Tuesday,1
Slight,England,Darkness - no lighting,Raining + high winds,July,Tuesday,1
Slight,England,Darkness - no lighting,Raining + high winds,December,Tuesday,1
Slight,England,Darkness - no lighting,Raining + high winds,November,Tuesday,4
Serious,England,Darkness - no lighting,Raining + high winds,December,Tuesday,2
Serious,England,Darkness - no lighting,Raining + high winds,November,Tuesday,2
Serious,England,Darkness - no lighting,Raining + high winds,February,Tuesday,1
Serious,England,Darkness - no lighting,Raining + high winds,October,Tuesday,1
Slight,Scotland,Darkness - lights unlit,Raining + high winds,May,Tuesday,1
Slight,England,Darkness - lights unlit,Raining + high winds,November,Tuesday,1
Slight,England,Darkness - lights unlit,Raining + high winds,December,Tuesday,1
Slight,England,Darkness - lights unlit,Raining + high winds,January,Tuesday,1
Serious,England,Daylight,Raining + high winds,September,Tuesday,1
Serious,England,Daylight,Raining + high winds,February,Tuesday,4
Serious,England,Daylight,Raining + high winds,April,Tuesday,2
Serious,England,Daylight,Raining + high winds,November,Tuesday,7
Serious,England,Daylight,Raining + high winds,January,Tuesday,1
Serious,Scotland,Daylight,Raining + high winds,October,Tuesday,1
Serious,Scotland,Daylight,Raining + high winds,February,Tuesday,1
Fatal,England,Darkness - no lighting,Raining + high winds,November,Tuesday,1
Serious,England,Darkness - lights lit,Raining + high winds,November,Tuesday,3
Serious,England,Darkness - lights lit,Raining + high winds,December,Tuesday,2
Serious,England,Darkness - lights lit,Raining + high winds,October,Tuesday,1
Serious,England,Darkness - lights lit,Raining + high winds,February,Tuesday,2
Slight,England,Darkness - lights lit,Raining + high winds,March,Tuesday,1
Slight,England,Darkness - lights lit,Raining + high winds,February,Tuesday,2
Slight,England,Darkness - lights lit,Raining + high winds,August,Tuesday,1
